"code_loc","site_ID","DateTimeOriginal","question__species","question__count_median","capture_date_local","capture_time_local"
"KAR","KAR_F02","2018-01-04 23:58:56","gemsbokoryx",3,"2018-01-04","23:58:56"
"KAR","KAR_A01","2017-12-04 08:29:52","kudu",1,"2017-12-04","08:29:52"
"KAR","KAR_A02","2017-11-05 00:04:46","kudu",1,"2017-11-05","00:04:46"
"KAR","KAR_E01","2018-01-29 03:05:36","baboon",3,"2018-01-29","03:05:36"
"KAR","KAR_A02","2018-01-23 16:44:31","steenbok",1,"2018-01-23","16:44:31"
"KAR","KAR_C02","2017-12-18 08:22:57","eland",1,"2017-12-18","08:22:57"
"KAR","KAR_B02","2018-01-11 14:54:44","gemsbokoryx",1,"2018-01-11","14:54:44"
"KAR","KAR_E01","2017-12-29 02:06:16","zebramountain",1,"2017-12-29","02:06:16"
"KAR","KAR_A02","2017-12-15 21:41:47","gemsbokoryx",1,"2017-12-15","21:41:47"
"KAR","KAR_E01","2018-01-30 01:52:18","gemsbokoryx",2,"2018-01-30","01:52:18"
"KAR","KAR_E02","2018-01-08 09:15:06","jackalblackbacked",1,"2018-01-08","09:15:06"
"KAR","KAR_E01","2017-12-16 00:58:52","kudu",1,"2017-12-16","00:58:52"
"KAR","KAR_B02","2017-10-31 22:46:44","baboon",1,"2017-10-31","22:46:44"
"KAR","KAR_B02","2018-01-27 06:02:37","caracal",2,"2018-01-27","06:02:37"
"KAR","KAR_D01","2017-12-29 19:08:10","eland",1,"2017-12-29","19:08:10"
"KAR","KAR_B02","2017-10-09 16:55:10","ostrich",1,"2017-10-09","16:55:10"
"KAR","KAR_D03","2018-02-03 19:46:04","gemsbokoryx",1,"2018-02-03","19:46:04"
"KAR","KAR_B02","2017-12-29 20:41:40","duikercommon",1,"2017-12-29","20:41:40"
"KAR","KAR_D04","2018-01-11 01:53:23","hartebeestred",1,"2018-01-11","01:53:23"
"KAR","KAR_C03","2018-01-06 00:16:52","eland",1,"2018-01-06","00:16:52"
"KAR","KAR_B02","2017-12-12 15:04:25","kudu",1,"2017-12-12","15:04:25"
"KAR","KAR_A01","2017-12-05 09:21:04","hartebeestred",1,"2017-12-05","09:21:04"
"KAR","KAR_D03","2017-12-17 19:54:15","gemsbokoryx",1,"2017-12-17","19:54:15"
"KAR","KAR_A01","2017-10-09 15:08:18","bustardludwigs",2,"2017-10-09","15:08:18"
"KAR","KAR_D01","2018-01-26 06:47:04","baboon",1,"2018-01-26","06:47:04"
"KAR","KAR_B03","2018-01-11 12:32:10","kudu",1,"2018-01-11","12:32:10"
"KAR","KAR_D04","2017-12-02 18:03:28","gemsbokoryx",1,"2017-12-02","18:03:28"
"KAR","KAR_A02","2017-10-06 16:37:05","gemsbokoryx",1,"2017-10-06","16:37:05"
"KAR","KAR_D03","2017-11-26 16:40:15","kudu",1,"2017-11-26","16:40:15"
"KAR","KAR_A02","2017-11-18 08:15:14","springbok",1,"2017-11-18","08:15:14"
"KAR","KAR_A02","2017-12-18 21:53:08","kudu",1,"2017-12-18","21:53:08"
"KAR","KAR_E03","2017-11-01 23:43:59","gemsbokoryx",1,"2017-11-01","23:43:59"
"KAR","KAR_E03","2017-12-20 19:21:39","springbok",1,"2017-12-20","19:21:39"
"KAR","KAR_E03","2018-01-29 02:07:01","baboon",1,"2018-01-29","02:07:01"
"KAR","KAR_E03","2017-10-15 13:49:03","kudu",1,"2017-10-15","13:49:03"
"KAR","KAR_B03","2017-12-23 17:33:38","eland",1,"2017-12-23","17:33:38"
"KAR","KAR_E01","2017-11-29 18:17:12","gemsbokoryx",1,"2017-11-29","18:17:12"
"KAR","KAR_B02","2017-10-20 03:21:36","baboon",1,"2017-10-20","03:21:36"
"KAR","KAR_C03","2017-12-27 01:03:07","steenbok",1,"2017-12-27","01:03:07"
"KAR","KAR_E01","2017-11-25 21:13:28","jackalblackbacked",1,"2017-11-25","21:13:28"
"KAR","KAR_E01","2017-10-24 14:48:06","duikercommon",1,"2017-10-24","14:48:06"
"KAR","KAR_C03","2017-11-15 17:01:22","baboon",1,"2017-11-15","17:01:22"
"KAR","KAR_B02","2018-01-23 05:23:34","jackalblackbacked",1,"2018-01-23","05:23:34"
"KAR","KAR_E01","2017-10-06 18:22:12","springbok",1,"2017-10-06","18:22:12"
"KAR","KAR_B03","2018-01-21 17:34:35","eland",1,"2018-01-21","17:34:35"
"KAR","KAR_E02","2018-01-24 08:18:54","kudu",1,"2018-01-24","08:18:54"
"KAR","KAR_A02","2018-01-06 03:49:57","jackalblackbacked",1,"2018-01-06","03:49:57"
"KAR","KAR_B03","2018-02-03 20:07:22","hartebeestred",1,"2018-02-03","20:07:22"
"KAR","KAR_B03","2018-02-04 17:41:21","kudu",1,"2018-02-04","17:41:21"
"KAR","KAR_C03","2017-11-07 17:01:41","zebramountain",2,"2017-11-07","17:01:41"
"KAR","KAR_D03","2017-12-17 08:23:05","zebramountain",1,"2017-12-17","08:23:05"
"KAR","KAR_D04","2017-12-26 14:32:23","kudu",1,"2017-12-26","14:32:23"
"KAR","KAR_D03","2017-11-13 04:13:31","eland",1,"2017-11-13","04:13:31"
"KAR","KAR_C03","2018-01-29 03:06:59","kudu",1,"2018-01-29","03:06:59"
"KAR","KAR_E03","2018-01-07 07:25:59","birdother",1,"2018-01-07","07:25:59"
"KAR","KAR_B03","2018-01-24 09:24:59","eland",3,"2018-01-24","09:24:59"
"KAR","KAR_C02","2017-10-07 07:46:36","bustardkori",3,"2017-10-07","07:46:36"
"KAR","KAR_D04","2017-11-01 05:35:23","duikercommon",1,"2017-11-01","05:35:23"
"KAR","KAR_B03","2018-01-04 05:30:57","steenbok",1,"2018-01-04","05:30:57"
"KAR","KAR_B03","2017-11-30 19:28:05","rhebokgrey",1,"2017-11-30","19:28:05"
"KAR","KAR_D04","2017-12-01 16:17:36","gemsbokoryx",1,"2017-12-01","16:17:36"
"KAR","KAR_A02","2018-01-23 08:45:52","gemsbokoryx",1,"2018-01-23","08:45:52"
"KAR","KAR_C03","2018-02-03 19:46:04","kudu",1,"2018-02-03","19:46:04"
"KAR","KAR_E03","2018-01-28 17:57:16","kudu",1,"2018-01-28","17:57:16"
"KAR","KAR_D04","2018-01-26 03:13:54","hartebeestred",2,"2018-01-26","03:13:54"
"KAR","KAR_B03","2018-01-05 06:43:40","bustardludwigs",1,"2018-01-05","06:43:40"
"KAR","KAR_D01","2017-12-02 19:23:26","zebramountain",1,"2017-12-02","19:23:26"
"KAR","KAR_E01","2017-10-10 11:50:28","gemsbokoryx",1,"2017-10-10","11:50:28"
"KAR","KAR_B03","2017-12-06 20:18:28","kudu",1,"2017-12-06","20:18:28"
"KAR","KAR_A02","2018-01-13 19:32:30","gemsbokoryx",1,"2018-01-13","19:32:30"
"KAR","KAR_C03","2018-01-20 07:49:11","kudu",1,"2018-01-20","07:49:11"
"KAR","KAR_B03","2017-12-29 10:31:07","baboon",1,"2017-12-29","10:31:07"
"KAR","KAR_E03","2018-01-24 13:15:03","duikercommon",1,"2018-01-24","13:15:03"
"KAR","KAR_D04","2017-12-03 02:27:24","gemsbokoryx",2,"2017-12-03","02:27:24"
"KAR","KAR_D01","2017-10-08 05:55:28","hartebeestred",1,"2017-10-08","05:55:28"
"KAR","KAR_A01","2017-11-19 13:53:04","kudu",1,"2017-11-19","13:53:04"
"KAR","KAR_D04","2018-01-18 05:04:28","baboon",1,"2018-01-18","05:04:28"
"KAR","KAR_D04","2018-01-29 00:09:06","hartebeestred",1,"2018-01-29","00:09:06"
"KAR","KAR_B03","2018-01-29 10:52:59","jackalblackbacked",1,"2018-01-29","10:52:59"
"KAR","KAR_B02","2017-12-18 20:38:08","gemsbokoryx",2,"2017-12-18","20:38:08"
"KAR","KAR_A01","2018-02-05 14:26:27","hartebeestred",2,"2018-02-05","14:26:27"
"KAR","KAR_B02","2018-02-03 08:11:10","steenbok",2,"2018-02-03","08:11:10"
"KAR","KAR_C03","2017-10-08 04:42:46","kudu",3,"2017-10-08","04:42:46"
"KAR","KAR_C03","2017-12-11 12:51:30","gemsbokoryx",1,"2017-12-11","12:51:30"
"KAR","KAR_B02","2018-01-22 13:02:41","birdother",1,"2018-01-22","13:02:41"
